,Class
0,0
1,0
2,0
3,1
4,1
5,0
6,0
7,1
8,0
9,1
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,1
21,0
22,1
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,1
60,0
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,0
74,1
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,1
83,1
84,1
85,1
86,1
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,1
96,0
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,0
108,1
109,0
110,0
111,1
112,0
113,1
114,1
115,1
116,1
117,1
118,0
119,0
120,1
121,1
122,1
123,1
124,0
125,0
126,0
127,1
128,1
129,1
130,0
131,1
132,1
133,0
134,0
135,1
136,1
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,1
148,0
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,0
158,1
159,0
160,0
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,1
177,1
178,1
180,1
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,1
190,0
191,0
192,1
193,1
194,1
195,1
196,0
197,0
198,1
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,1
208,1
209,0
210,1
211,1
212,0
213,1
214,1
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,1
228,1
229,0
230,1
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,0
242,1
243,1
244,0
245,0
246,1
247,1
248,0
249,0
250,1
251,0
252,1
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,0
269,0
270,1
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,1
284,1
285,1
286,1
287,0
288,0
289,0
290,1
291,0
292,1
293,0
294,1
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,0
311,0
312,1
313,1
314,0
315,0
316,0
317,1
318,0
319,1
320,0
321,0
322,0
323,1
324,0
325,0
326,1
327,0
328,1
329,0
331,0
332,1
333,0
334,1
335,0
336,0
337,0
338,0
339,1
340,1
341,1
342,1
343,0
344,1
345,0
346,1
347,1
348,0
349,0
350,0
351,0
352,1
353,0
354,1
355,0
356,1
357,1
359,0
360,0
361,1
362,0
363,0
364,1
365,1
366,1
367,1
368,1
369,0
370,1
371,0
372,0
373,1
374,1
375,1
376,0
377,0
378,1
379,0
380,0
381,0
382,0
383,1
384,0
385,0
387,0
388,0
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,1
399,0
400,0
401,0
402,1
403,0
404,0
405,0
406,1
407,1
408,1
409,1
410,1
411,0
412,0
413,0
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,1
423,1
424,1
425,0
426,1
427,0
428,1
429,0
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,0
438,0
439,0
440,0
441,0
442,1
443,1
444,0
445,0
446,0
447,0
448,1
449,1
450,0
451,1
452,1
453,1
454,0
455,1
456,0
457,0
458,1
459,1
460,1
461,0
462,1
463,0
464,1
465,0
466,1
467,0
468,1
469,1
470,1
471,0
472,1
473,1
474,0
475,0
476,0
477,0
478,0
479,1
480,1
481,1
482,1
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,1
491,0
492,1
493,0
494,0
495,0
496,0
497,1
498,1
499,1
500,0
501,0
502,0
503,1
504,0
505,1
506,0
507,1
508,1
509,1
510,0
511,1
512,0
513,1
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,0
522,1
523,1
524,1
525,1
526,0
527,1
528,0
529,1
530,1
531,1
532,1
533,1
534,0
535,1
536,1
537,0
538,0
